Date,Software
8/19/2014,0.96
8/20/2014,0.96
8/21/2014,0.96
8/22/2014,0.96
8/25/2014,0.95
8/26/2014,0.95
8/27/2014,0.94
8/28/2014,0.94
8/29/2014,0.94
9/2/2014,0.95
9/3/2014,0.95
9/4/2014,0.96
9/5/2014,0.96
9/8/2014,0.96
9/9/2014,0.95
9/10/2014,0.95
9/11/2014,0.95
9/12/2014,0.95
9/15/2014,0.95
9/16/2014,0.96
9/17/2014,0.96
9/18/2014,0.95
9/19/2014,0.95
9/22/2014,0.95
9/23/2014,0.95
9/24/2014,0.95
9/25/2014,0.95
9/26/2014,0.95
9/29/2014,0.95
9/30/2014,0.95
10/1/2014,0.95
10/2/2014,0.95
10/3/2014,0.95
10/6/2014,0.95
10/7/2014,0.95
10/8/2014,0.95
10/9/2014,0.96
10/10/2014,0.97
10/13/2014,0.96
10/14/2014,0.96
10/15/2014,0.96
10/16/2014,0.97
10/17/2014,0.97
10/20/2014,0.99
10/21/2014,0.99
10/22/2014,0.99
10/23/2014,0.98
10/24/2014,0.99
10/27/2014,0.99
10/28/2014,0.99
10/29/2014,0.99
10/30/2014,0.99
10/31/2014,0.99
11/3/2014,0.99
11/4/2014,0.99
11/5/2014,0.99
11/6/2014,0.98
11/7/2014,0.98
11/10/2014,0.98
11/11/2014,0.98
11/12/2014,0.98
11/13/2014,0.98
11/14/2014,0.97
11/17/2014,0.97
11/18/2014,0.97
11/19/2014,0.97
11/20/2014,0.97
11/21/2014,0.97
11/24/2014,0.96
11/25/2014,0.96
11/26/2014,0.97
11/28/2014,0.97
12/1/2014,0.95
12/2/2014,0.96
12/3/2014,0.95
12/4/2014,0.95
12/5/2014,0.95
12/8/2014,0.95
12/9/2014,0.95
12/10/2014,0.95
12/11/2014,0.95
12/12/2014,0.93
12/15/2014,0.93
12/16/2014,0.94
12/17/2014,0.94
12/18/2014,0.97
12/19/2014,0.97
12/22/2014,0.97
12/23/2014,0.97
12/24/2014,0.97
12/26/2014,0.97
12/29/2014,0.97
12/30/2014,0.97
12/31/2014,0.97
1/2/2015,0.98
1/5/2015,0.97
1/6/2015,0.97
1/7/2015,0.97
1/8/2015,0.97
1/9/2015,0.97
1/12/2015,0.97
1/13/2015,0.96
1/14/2015,0.96
1/15/2015,0.95
1/16/2015,0.96
